"","osm_id","name","addr.street","shop","long","lat"
"616580257","616580257",NA,NA,NA,119.448198,-5.1572278
"960109080","960109080",NA,NA,NA,119.4488695,-5.1587167
"960109081","960109081",NA,NA,NA,119.4479076,-5.1585698
"960109085","960109085",NA,NA,NA,119.4477495,-5.1576341
"960109114","960109114",NA,NA,NA,119.4481619,-5.1573868
"960109116","960109116",NA,NA,NA,119.4484656,-5.1573217
"960109117","960109117",NA,NA,NA,119.4484467,-5.1574061
"960109118","960109118",NA,NA,NA,119.4490539,-5.1576875
"1219240375","1219240375","KOMPLEK PASAR SUNGGUMINASA",NA,"supermarket",119.4486164,-5.2059901
"1219240394","1219240394",NA,NA,NA,119.4488632,-5.2068234
"1219240555","1219240555",NA,NA,"supermarket",119.4557192,-5.2120614
"1219240717","1219240717",NA,NA,NA,119.4493031,-5.2061717
"1219240735","1219240735",NA,NA,NA,119.4482463,-5.2053436
"1219241012","1219241012",NA,NA,NA,119.447962,-5.205755
"1971136061","1971136061",NA,NA,NA,119.4475838,-5.1621721
"1971136068","1971136068",NA,NA,NA,119.4475461,-5.1622266
"1971136073","1971136073",NA,NA,NA,119.4477267,-5.1622699
"1971136075","1971136075",NA,NA,NA,119.4476891,-5.1623245
"1971186190","1971186190",NA,NA,NA,119.4451321,-5.1584474
"1971186195","1971186195",NA,NA,NA,119.4452848,-5.1584853
"1971186199","1971186199",NA,NA,NA,119.4451131,-5.1585341
"1971186201","1971186201",NA,NA,NA,119.44527,-5.1585686
"1971193489","1971193489",NA,NA,NA,119.440796,-5.1621087
"1971193496","1971193496",NA,NA,NA,119.4409517,-5.1621294
"1971193499","1971193499",NA,NA,NA,119.4407995,-5.1621552
"1971193502","1971193502",NA,NA,NA,119.4409379,-5.1621828
"1971193523","1971193523",NA,NA,NA,119.4426884,-5.1623478
"1971193525","1971193525",NA,NA,NA,119.442823,-5.1623831
"1971193526","1971193526",NA,NA,NA,119.4426676,-5.1624136
"1971193530","1971193530",NA,NA,NA,119.4428022,-5.1624501
"1971299171","1971299171",NA,NA,NA,119.4384535,-5.1633979
"1971299177","1971299177",NA,NA,NA,119.4386402,-5.163422
"1971299204","1971299204",NA,NA,NA,119.4384383,-5.1635101
"1971299212","1971299212",NA,NA,NA,119.4386221,-5.1635403
"1971333085","1971333085",NA,NA,NA,119.3904,-5.1680442
