tahun,nama_kota,nama_kecamatan,nama_kelurahan,jenis_disabilitas,jenis_kelamin,jumlah
2017,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Cacat Fisik dan Mental,Laki-laki,2
2017,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Cacat Mental/Jiwa,Laki-laki,1
2017,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Cacat Fisik,Laki-laki,1
2017,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Cacat Mental/Jiwa,Laki-laki,1
2017,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Cacat Mental/Jiwa,Laki-laki,3
2017,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Cacat Rungu/Wicara,Laki-laki,1
2017,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA PUSAT,GAMBIR,GAMBIR,Cacat Fisik,Laki-laki,1
2017,JAKARTA PUSAT,GAMBIR,GAMBIR,Cacat Fisik dan Mental,Laki-laki,1
2017,JAKARTA PUSAT,GAMBIR,CIDENG,Cacat Fisik,Laki-laki,
2017,JAKARTA PUSAT,GAMBIR,CIDENG,Cacat Fisik dan Mental,Laki-laki,1
2017,JAKARTA PUSAT,GAMBIR,CIDENG,Cacat Lainnya,Laki-laki,
2017,JAKARTA PUSAT,GAMBIR,CIDENG,Cacat Mental/Jiwa,Laki-laki,2
2017,JAKARTA PUSAT,GAMBIR,CIDENG,Cacat Netra/Buta,Laki-laki,2
2017,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Cacat Fisik,Laki-laki,1
2017,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Cacat Lainnya,Laki-laki,1
2017,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Cacat Mental/Jiwa,Laki-laki,
2017,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Cacat Fisik dan Mental,Laki-laki,2
2017,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Cacat Lainnya,Laki-laki,1
2017,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Cacat Rungu/Wicara,Laki-laki,1
2017,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Cacat Mental/Jiwa,Laki-laki,
2017,JAKARTA PUSAT,GAMBIR,DURI PULO,Cacat Mental/Jiwa,Laki-laki,
2017,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Cacat Fisik,Laki-laki,1
2017,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Cacat Lainnya,Laki-laki,1
2017,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Cacat Mental/Jiwa,Laki-laki,
2017,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Cacat Fisik,Laki-laki,1
2017,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Cacat Fisik,Laki-laki,2
2017,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Cacat Fisik,Laki-laki,1
2017,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Cacat Lainnya,Laki-laki,
2017,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Cacat Mental/Jiwa,Laki-laki,
2017,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Cacat Fisik,Laki-laki,2
2017,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Cacat Lainnya,Laki-laki,1
2017,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Cacat Rungu/Wicara,Laki-laki,
2017,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Cacat Fisik,Laki-laki,1
2017,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Cacat Fisik dan Mental,Laki-laki,2
2017,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Cacat Lainnya,Laki-laki,4
2017,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Cacat Mental/Jiwa,Laki-laki,2
2017,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Cacat Fisik,Laki-laki,2
2017,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Cacat Fisik dan Mental,Laki-laki,
2017,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Cacat Lainnya,Laki-laki,5
2017,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Cacat Netra/Buta,Laki-laki,
2017,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Cacat Rungu/Wicara,Laki-laki,2
2017,JAKARTA PUSAT,KEMAYORAN,SERDANG,Cacat Fisik,Laki-laki,1
2017,JAKARTA PUSAT,KEMAYORAN,SERDANG,Cacat Mental/Jiwa,Laki-laki,
2017,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Cacat Fisik,Laki-laki,5
2017,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Cacat Fisik dan Mental,Laki-laki,1
2017,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Cacat Lainnya,Laki-laki,42
2017,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Cacat Mental/Jiwa,Laki-laki,12
2017,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Cacat Netra/Buta,Laki-laki,1
2017,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Cacat Rungu/Wicara,Laki-laki,1
2017,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Cacat Fisik,Laki-laki,3
2017,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Cacat Fisik dan Mental,Laki-laki,1
2017,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Cacat Lainnya,Laki-laki,4
2017,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Cacat Mental/Jiwa,Laki-laki,2
2017,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Cacat Netra/Buta,Laki-laki,1
2017,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Cacat Fisik,Laki-laki,1
2017,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Cacat Fisik dan Mental,Laki-laki,1
2017,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Cacat Lainnya,Laki-laki,
2017,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Cacat Rungu/Wicara,Laki-laki,
2017,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Cacat Fisik dan Mental,Laki-laki,
2017,JAKARTA PUSAT,S E N E N,SENEN,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA PUSAT,S E N E N,PASEBAN,Cacat Fisik dan Mental,Laki-laki,
2017,JAKARTA PUSAT,S E N E N,PASEBAN,Cacat Lainnya,Laki-laki,2
2017,JAKARTA PUSAT,S E N E N,PASEBAN,Cacat Mental/Jiwa,Laki-laki,
2017,JAKARTA PUSAT,S E N E N,KRAMAT,Cacat Fisik,Laki-laki,7
2017,JAKARTA PUSAT,S E N E N,KRAMAT,Cacat Lainnya,Laki-laki,1
2017,JAKARTA PUSAT,S E N E N,KRAMAT,Cacat Mental/Jiwa,Laki-laki,1
2017,JAKARTA PUSAT,S E N E N,KRAMAT,Cacat Netra/Buta,Laki-laki,1
2017,JAKARTA PUSAT,S E N E N,KRAMAT,Cacat Rungu/Wicara,Laki-laki,1
2017,JAKARTA PUSAT,S E N E N,KWITANG,Cacat Fisik,Laki-laki,
2017,JAKARTA PUSAT,S E N E N,KWITANG,Cacat Lainnya,Laki-laki,1
