Tujuan,Dom/Int,No. Penerbangan,"Waktu
(LT) *",Terminal/Pintu,Status
Juanda,DOM,JT-791,09:25:00 AM,D/1,LAST CALL
Mopah,DOM,ID-6160,09:40:00 AM,D/2,LAST CALL
Sentani,DOM,ID-6182,09:55:00 AM,D/1,LAST CALL
Sultan Babullah,DOM,ID-8134,10:10:00 AM,D/6,BOARDING
Bersujud/Batulicin,DOM,IW-1355,10:10:00 AM,D/7,CHECK IN CLOSE
Beto Ambari,DOM,IW-1306,10:15:00 AM,D/7,LAST CALL
Samarinda,DOM,ID-6687,10:25:00 AM,D/2,CHECK IN OPEN
Sepinggan,DOM,JT-676,10:30:00 AM,D/1,CHECK IN OPEN
Soekarno - Hatta,DOM,GA-641,10:40:00 AM,D/3,CHECK IN OPEN
Juanda,DOM,ID-6197,10:40:00 AM,D/6,CHECK IN OPEN
Kulon Progo,DOM,JT-641,10:40:00 AM,D/2,CHECK IN OPEN
Kolaka,DOM,QG-1392,10:55:00 AM,D/7,CHECK IN OPEN
Soekarno - Hatta,DOM,QG-333,11:00:00 AM,D/2,CHECK IN OPEN
Pattimura,DOM,JT-786,11:20:00 AM,D/5,CHECK IN OPEN
Djalaluddin,DOM,GA-642,11:30:00 AM,D/4,CHECK IN OPEN
Tampa Padang,DOM,IW-1300,11:40:00 AM,D/7,CHECK IN OPEN
Soekarno - Hatta,DOM,ID-6265,12:00:00 PM,D/1,CHECK IN OPEN
Sam Ratulangi,DOM,JT-778,12:00:00 PM,D/5,CHECK IN OPEN
Haluoleo,DOM,JT-992,12:05:00 PM,D/6,SCHEDULED
Juanda,DOM,QG-306,12:05:00 PM,D/2,SCHEDULED
Syukuran Aminudin Amir,DOM,ID-6292,12:35:00 PM,D/1,SCHEDULED
Juanda,DOM,JT-707,12:40:00 PM,D/5,SCHEDULED
Djalaluddin,DOM,ID-6236,01:00:00 PM,D/2,SCHEDULED
Muhammad Salahuddin,DOM,IW-1869,01:00:00 PM,D/7,SCHEDULED
Soekarno - Hatta,DOM,GA-605,01:05:00 PM,D/3,SCHEDULED
Soekarno - Hatta,DOM,QG-251,01:05:00 PM,D/2,SCHEDULED
Beto Ambari,DOM,IW-1314,01:15:00 PM,D/7,SCHEDULED
Sugimanuru,DOM,IW-1326,01:20:00 PM,D/7,SCHEDULED
Beto Ambari,DOM,QG-1334,01:25:00 PM,D/7,SCHEDULED
Sepinggan,DOM,JT-662,01:30:00 PM,D/6,SCHEDULED
Soekarno - Hatta,DOM,ID-6285,01:40:00 PM,D/2,SCHEDULED
Juanda,DOM,JT-885,01:45:00 PM,D/5,SCHEDULED
Sam Ratulangi,DOM,JT-742,01:50:00 PM,D/1,SCHEDULED
Mutiara,DOM,GA-608,01:55:00 PM,D/4,SCHEDULED
Syukuran Aminudin Amir,DOM,SJ-566,01:55:00 PM,D/3,SCHEDULED
Lagaligo Bua,DOM,QG-1394,02:00:00 PM,D/7,SCHEDULED
Sepinggan,DOM,SJ-173,02:25:00 PM,D/2,SCHEDULED
Haluoleo,DOM,ID-6284,02:35:00 PM,D/1,CHECK IN OPEN
Sam Ratulangi,DOM,QG-307,02:35:00 PM,D/6,SCHEDULED
Juanda,DOM,JT-709,02:40:00 PM,D/5,CHECK IN OPEN
Juanda,DOM,QG-351,02:50:00 PM,D/3,SCHEDULED
Soekarno - Hatta,DOM,ID-6269,03:00:00 PM,D/2,SCHEDULED
Halim Perdanakusuma,DOM,ID-7708,03:00:00 PM,D/4,SCHEDULED
Kulon Progo,DOM,GA-676,03:25:00 PM,D/4,SCHEDULED
Haluoleo,DOM,JT-994,03:30:00 PM,D/6,SCHEDULED
Juanda,DOM,ID-8135,03:55:00 PM,D/3,SCHEDULED
Kulon Progo,DOM,JT-643,04:00:00 PM,D/5,SCHEDULED
Achmad Yani,DOM,SJ-715,04:00:00 PM,D/1,SCHEDULED
Soekarno - Hatta,DOM,GA-643,04:05:00 PM,D/3,CHECK IN OPEN
Sam Ratulangi,DOM,JT-740,04:05:00 PM,D/6,SCHEDULED
Soekarno - Hatta,DOM,GA-655,04:10:00 PM,D/4,SCHEDULED
Juanda,DOM,JT-787,04:10:00 PM,D/5,SCHEDULED
Soekarno - Hatta,DOM,GA-651,04:25:00 PM,D/3,SCHEDULED
Soekarno - Hatta,DOM,ID-6293,04:30:00 PM,D/2,SCHEDULED
Mutiara,DOM,JT-780,04:40:00 PM,D/1,SCHEDULED
Juanda,DOM,ID-6137,05:00:00 PM,D/2,SCHEDULED
Soekarno - Hatta,DOM,JT-777,05:00:00 PM,D/5,SCHEDULED
Djalaluddin,DOM,JT-892,05:00:00 PM,D/6,SCHEDULED
Soekarno - Hatta,DOM,QG-427,05:05:00 PM,D/2,CHECK IN OPEN
Soekarno - Hatta,DOM,ID-6235,05:20:00 PM,D/1,SCHEDULED
Soekarno - Hatta,DOM,JT-797,05:40:00 PM,D/3,SCHEDULED
Juanda,DOM,SJ-567,05:45:00 PM,D/2,SCHEDULED
Soekarno - Hatta,DOM,GA-609,06:05:00 PM,D/4,SCHEDULED
Juanda,DOM,JT-883,06:10:00 PM,D/5,SCHEDULED
Juanda,DOM,ID-8137,06:15:00 PM,D/2,SCHEDULED
Soekarno - Hatta,DOM,SJ-589,06:15:00 PM,D/6,SCHEDULED
Haluoleo,DOM,QG-332,06:25:00 PM,D/2,SCHEDULED
Haluoleo,DOM,JT-996,06:45:00 PM,D/1,SCHEDULED
Juanda,DOM,QG-355,07:15:00 PM,D/3,SCHEDULED
Soekarno - Hatta,DOM,ID-6183,07:40:00 PM,D/3,SCHEDULED
Soekarno - Hatta,DOM,JT-875,08:00:00 PM,D/3,SCHEDULED
Soekarno - Hatta,DOM,JT-875,08:00:00 PM,D/3,SCHEDULED
