nama_bandara,latitude,longitude
Juanda,-7.3788851,112.7851004
Mopah,-8.5185432,140.412764
Sentani,-2.5737008,140.5131202
Sultan Babullah,0.8324154,127.3769608
Bersujud/Batulicin,-3.4115081,115.9979459
Beto Ambari,-5.4867781,122.5670355
Samarinda,-0.3709861,117.2548692
Sepinggan,-1.2658151,116.8627069
Soekarno - Hatta,-6.1275282,106.6515171
Kulon Progo,-7.9003073,110.0569203
Kolaka,-4.3419707,121.4514597
Pattimura,-3.7043178,128.088421
Djalaluddin,-1.7585028,119.31816
Tampa Padang,-2.5890628,119.0269897
Sam Ratulangi,1.549869,124.9234474
Haluoleo,-4.0767873,122.4150039
Syukuran Aminudin Amir,-1.0409328,122.7691387
Muhammad Salahuddin,-8.5416395,114.2097473
Sugimanuru,-4.7598587,122.5670679
Mutiara,-0.9186115,119.9042587
Lagaligo Bua,-3.0862792,120.240468
Halim Perdanakusuma,-6.2653365,106.88239
Achmad Yani,-6.9663454,110.3728004
Sultan Hasanuddin,-5.077747,119.5472957
